title,na_sales,jp_sales,pal_sales,other_sales,total_title,popular_title,flop_title
Mahjong Fight Club,NULL,0.170000001788139,NULL,0,1,Japan,Other Region
Wordmaster,0.0900000035762787,NULL,0,0.00999999977648258,1,North America,Europe and Africa
Fate/Tiger Colosseum,NULL,0.0799999982118607,NULL,NULL,1,Japan,Other Region
"Makai Senki Disgaea Portable: ",NULL,0.0299999993294477,NULL,NULL,1,Japan,Other Region
Super Chinese I+II Advance,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Wirehead,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Cosmic Ark,0.990000009536743,NULL,0.0500000007450581,0.00999999977648258,1,North America,Other Region
Deep Black,NULL,NULL,0,0,5,Europe and Africa,Europe and Africa
Sniper Assault,NULL,NULL,NULL,NULL,1,Other Region,Other Region
The Starship Damrey,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Picross e3,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Squids Odyssey,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Hidden Mysteries: JFK Conspira,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Arcus 1-2-3,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Dokodemo Hamster 2,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Petz Wild Animals: Dolphinz,0.709999978542328,NULL,0.479999989271164,0.129999995231628,1,North America,Other Region
Metal Gear 2: Solid Snake,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Siren: Blood Curse Episodes 1-,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Acceleration of Suguri X Editi,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Power Pro Kun Pocket 7,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Luminous Arc,0.159999996423721,0.0599999986588955,0,0.00999999977648258,1,North America,Europe and Africa
Chris Sawyer's Locomotion,NULL,NULL,0,0,1,Europe and Africa,Europe and Africa
"Momotarou Dengeki 2: Momotaro ",NULL,NULL,NULL,NULL,1,Other Region,Other Region
Diablo II,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Squid Yes! Not So Octopus!,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Boku wa Koukuu Kanseikan 3: On,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Winemaker Extraordinaire,NULL,NULL,NULL,NULL,1,Other Region,Other Region
MLB 12: The Show,1.03000001609325,NULL,NULL,0.099999999627471,2,North America,Other Region
Jampack Volume 12,0.150000005960464,NULL,0.119999997317791,0.0399999991059303,1,North America,Other Region
Simple 1500 Series Vol. 15: Th,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Simple 2960 Tomodachi Series V,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Corum Online,NULL,NULL,NULL,NULL,1,Other Region,Other Region
